Particle No.,Measured Volume (cm3),Measured Weight (g),Measured' Volume (cm3),Reconstructed Volume (cm3),Volume1 (cm3),Volume2 (cm3),Volume3 (cm3),,Dig1,Dig2,Dig3,Over1,Over2,Over3,Count1,Count2,Count3,Correct Volume,Dig,Actual,Count
1,0,4037,1517.7,1776.3,1765.5,1772.7,1790.7,,0.043048,0.03042,0.012421,1.16,1.17,1.18,212,144,74,0.86302,0.06849,1.163273374,212
2,0,3855.5,1449.4,1655.3,1656.8,1644.7,1664.5,,0.028085,0.038025,0.017091,1.14,1.13,1.15,157,155,95,0.905878,0.047061,1.168017395,157
3,0,9207.9,3461.6,3705.9,3653.8,3871.6,3592.1,,0.033087,0.029866,0.024095,1.06,1.12,1.04,165,117,124,0.892424,0.053788,1.179877446,165
4,0,3061.7,1151,1434.6,1477.1,1454,1372.8,,0.019605,0.01882,0.0264,1.28,1.26,1.19,94,72,154,0.935642,0.032179,1.143093694,94
5,0,5511.1,2071.8,2340.2,2185.9,2334,2500.6,,0.015791,0.01328,0.027033,1.06,1.13,1.21,71,65,134,0.949902,0.025049,1.134745412,71
6,0,5624.5,2114.5,2502,2397.5,2545.6,2562.8,,0.025623,0.023821,0.022792,1.13,1.2,1.21,125,106,133,0.918054,0.040973,1.148406237,125
7,0,3855.5,1449.4,1615.6,1559.8,1697.3,1589.6,,0.02361,0.021167,0.026523,1.08,1.17,1.1,252,102,143,0.926582,0.036709,1.055523457,252
8,0,3039.1,1142.5,1264,1292.7,1265.5,1234,,0.016086,0.040468,0.034388,1.13,1.11,1.08,173,115,174,0.946288,0.026856,1.118442339,173
9,0,3742.1,1406.8,1667.5,1665.1,1617.3,1720.1,,0.019262,0.029426,0.022318,1.18,1.15,1.22,194,116,186,0.936944,0.031528,1.03769933,194
10,0,2358.7,886.7,994.46,1025,975.08,983.23,,0.03733,0.033325,0.022993,1.16,1.1,1.11,169,103,184,0.871244,0.064378,1.283318853,169
11,0,3696.8,1389.8,1310.3,1300.5,1340.2,1290.2,,0.032331,0.024707,0.019383,0.94,0.96,0.93,131,108,168,0.89605,0.051975,1.263249348,131
12,0,3810.2,1432.4,1432.3,1397.5,1516.1,1383.3,,0.027338,0.039025,0.016509,0.98,1.06,0.97,124,172,62,0.91226,0.04387,1.192701998,124
13,0,3628.7,1364.2,1363.4,1364.9,1390.8,1334.5,,0.018568,0.022442,0.017772,1,1.02,0.98,115,95,72,0.936762,0.031619,1.055021961,115
14,0,4467.9,1679.7,1690.9,1749.8,1730.2,1592.9,,0.020206,0.021615,0.016497,1.04,1.03,0.95,134,109,67,0.933274,0.033363,1.126502244,134
15,0,3855.5,1449.4,1464.8,1422.3,1540.9,1431.1,,0.024687,0.023754,0.031256,0.98,1.06,0.99,204,126,166,0.91635,0.041825,1.20691153,204
16,0,4127.7,1551.8,1628.5,1780.2,1622.1,1483.2,,0.018402,0.025564,0.024359,1.15,1.05,0.96,126,117,128,0.939176,0.030412,1.133837787,126
17,0,6191.5,2327.6,2400.9,2379.4,2319.3,2504.1,,0.025612,0.017346,0.026455,1.02,1,1.08,184,78,157,0.915422,0.042289,1.203877985,184
18,0,3356.6,1261.9,1193,1191.1,1206.4,1181.7,,0.020361,0.030293,0.011234,0.94,0.96,0.94,153,142,56,0.933466,0.033267,1.212012296,153
19,0,4241.1,1594.4,1599.2,1578.4,1530.8,1688.3,,0.035013,0.029745,0.019932,0.99,0.96,1.06,153,132,100,0.883792,0.058104,1.076169449,153
